CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
CENCOSUD.xlsx;35177;PIMIENTA NEGRA MOLIDA X 0.5 ONZ BADIA;BADIA;S011;Supermercado Metro Comas Retab;METRO;17;24;METRO COMAS RETAB
CENCOSUD.xlsx;35177;PIMIENTA NEGRA MOLIDA X 0.5 ONZ BADIA;BADIA;W101;Hipermercado Wong Ate;WONG;35;95;WONG ATE
CENCOSUD.xlsx;4930;CANELA EN POLVO X 2 OZ. BADIA;BADIA;H008;Hipermercado Metro Canada;METRO;31;21;METRO CANADA
CENCOSUD.xlsx;35229;PIMENTON X 1 ONZ   BADIA;BADIA;T130;Wong Sol de La Molina;WONG;7;25;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;1015451;FIDEO SEMOLA FUSILLI 500G COLAVITA;COLAVITA;T111;Wong Camacho;WONG;15;19;WONG CAMACHO
CENCOSUD.xlsx;35241;SAL DE AJO X 4.5 ONZ  BADIA;BADIA;T102;Wong Ovalo Gutierrez;WONG;92;50;WONG OVALO GUTIERREZ
CENCOSUD.xlsx;35175;NUEZ MOSCADA ENTERA X 5 OZ. BADIA.;BADIA;S081;Supermercado Metro Ej rcito;METRO;3;15;Supermercado Metro Ejercito
CENCOSUD.xlsx;4932;CEBOLLA EN POLVO X2.75 OZ.''BADIA'';BADIA;H008;Hipermercado Metro Canada;METRO;17;10;METRO CANADA
CENCOSUD.xlsx;521616009;CONDIMENTOS ORGANICOS BADIA FCO  TOMILL;BADIA;T115;Wong Aldava;WONG;5;12;WONG ALDAVA
CENCOSUD.xlsx;35175;NUEZ MOSCADA ENTERA X 5 OZ. BADIA.;BADIA;T130;Wong Sol de La Molina;WONG;5;20;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;127511002;SAZONADOR BADIA X 7 OZ PIMIENTA NEGRA;BADIA;T109;Wong San Miguel;WONG;38;51;WONG SAN MIGUEL
CENCOSUD.xlsx;48495016;CHOC TAB PETIT BISCUIT X100G RITTERSPORT;RITTER SPORT;T103;Wong Aurora;WONG;17;8;WONG AURORA
CENCOSUD.xlsx;35240;NUEZ MOSCADA MOLIDA X 2 ONZ BADIA;BADIA;T116;Wong Asia;WONG;5;18;WONG ASIA
CENCOSUD.xlsx;1013262;SAZONADOR PARA TACOS 2.75OZ BADIA;BADIA;T111;Wong Camacho;WONG;11;6;WONG CAMACHO
CENCOSUD.xlsx;127511003;SAZONADOR BADIA X 10.5 OZ AJO EN POLVO;BADIA;S028;Supermercado Metro Proceres;METRO;15;18;METRO PROCERES
CENCOSUD.xlsx;37784;SAZONADOR AJO Y PEREJIL X141.7 GR BADIA;BADIA;T111;Wong Camacho;WONG;5;17;WONG CAMACHO
CENCOSUD.xlsx;35241;SAL DE AJO X 4.5 ONZ  BADIA;BADIA;W101;Hipermercado Wong Ate;WONG;16;27;WONG ATE
CENCOSUD.xlsx;1013262;SAZONADOR PARA TACOS 2.75OZ BADIA;BADIA;S062;Supermercado Metro Cerro Color;METRO;6;9;METRO CERRO COLOR
CENCOSUD.xlsx;993052;AJO NEGRO Y SAL ROSADA BADIA 9OZ;BADIA;T114;Wong La Planicie;WONG;1;1;WONG LA PLANICIE
